"filename", "language", "TypeScript", "JSON", "JSON with Comments", "JavaScript", "Markdown", "XML", "PostCSS", "HTML", "vue", "comment", "blank", "total"
"d:\projectCode\blog\src\components\User\Fav\fav.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 63, 0, 5, 68
"d:\projectCode\blog\src\components\User\Fav\post.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 5, 74
"d:\projectCode\blog\src\components\User\Fav\threads.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 69, 0, 5, 74
"d:\projectCode\blog\src\components\User\Friend\circle.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 7, 93
"d:\projectCode\blog\src\components\User\Friend\friend.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 86, 0, 3, 89
"d:\projectCode\blog\src\components\User\Friend\friendApply.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 112, 0, 4, 116
"d:\projectCode\blog\src\components\User\Friend\friendList.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 96, 0, 4, 100
"d:\projectCode\blog\src\components\User\Friend\myApply.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 43, 0, 3, 46
"d:\projectCode\blog\src\components\User\History\history.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 225, 0, 10, 235
"d:\projectCode\blog\src\components\User\login.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 559, 3, 13, 575
"d:\projectCode\blog\src\components\User\logout.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 2, 37
"d:\projectCode\blog\src\components\User\modifyInfo.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 394, 9, 13, 416
"d:\projectCode\blog\src\components\User\overview.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 134, 7, 7, 148
"d:\projectCode\blog\src\components\User\personalInfo.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 106, 6, 4, 116
"d:\projectCode\blog\src\components\User\userMsgBoard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 129, 0, 8, 137
"d:\projectCode\blog\src\components\User\userPage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 273, 3, 12, 288
"d:\projectCode\blog\src\components\alertCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 42, 0, 3, 45
"d:\projectCode\blog\src\components\articleCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 117, 0, 9, 126
"d:\projectCode\blog\src\components\historCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\projectCode\blog\src\components\labelCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 2, 23
"d:\projectCode\blog\src\components\levelCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 115, 0, 2, 117
"d:\projectCode\blog\src\components\likefavList.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 48, 0, 4, 52
"d:\projectCode\blog\src\components\messageCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 90, 0, 3, 93
"d:\projectCode\blog\src\components\pagination.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 28, 0, 3, 31
"d:\projectCode\blog\src\components\postCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 176, 0, 16, 192
"d:\projectCode\blog\src\components\threadCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 192, 9, 12, 213
"d:\projectCode\blog\src\components\userCard.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 77, 0, 4, 81
"d:\projectCode\blog\src\hooks\countDown.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16
"d:\projectCode\blog\src\hooks\stars.ts", "TypeScript", 68, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 72
"d:\projectCode\blog\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 0, 86, 0, 0, 5, 10, 101
"d:\projectCode\blog\src\main.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 65
"d:\projectCode\blog\src\request.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10
"d:\projectCode\blog\src\router\router.ts", "TypeScript", 240, 0, 0, 0, 0, 0, 0, 0, 0, 32, 11, 283
"d:\projectCode\blog\src\shims.d.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8
"d:\projectCode\blog\src\stores\store.ts", "TypeScript", 118, 0, 0, 0, 0, 0, 0, 0, 0, 27, 15, 160
"d:\projectCode\blog\src\views\articlePage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"d:\projectCode\blog\src\views\homepage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 587, 3, 10, 600
"d:\projectCode\blog\src\views\personalPage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 354, 2, 6, 362
"d:\projectCode\blog\src\views\postPage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"d:\projectCode\blog\src\views\threadPage.vue", "vue", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 1, 12
"d:\projectCode\blog\src\vite-env.d.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"d:\projectCode\blog\tailwind.config.cjs", "JavaScript", 0, 0, 0, 41, 0, 0, 0, 0, 0, 1, 0, 42
"d:\projectCode\blog\tsconfig.json", "JSON with Comments", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 1, 19
"d:\projectCode\blog\tsconfig.node.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10
"d:\projectCode\blog\vite.config.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 20
"Total", "-", 1336, 50, 18, 47, 11, 14, 232, 13, 8234, 164, 665, 10784
